sample_line_no,var_to_rename,trigger
1357,errp,ret_Val_
1358,bs,init_Val_
1359,async,get_count_
1361,s,ret_Val_
1363,s,set_count_
1364,growable,get_count_
1365,dst,init_Val_
1366,s,set_count_
1367,f,set_count_
1368,sb,set_count_
1370,r,get_count_
1371,errp,set_count_
1372,ncolors,get_frame_
1373,s,get_count_
1374,dx,get_count_
1375,i,get_count_
1376,val,init_Val_
1377,s,get_count_
1378,bs,ret_Val_
1380,bit,init_Val_
1381,loadaddr,set_count_
1383,dst,ret_Val_
1384,addr,get_count_
1385,ret,get_frame_
1386,req,get_frame_
1387,j,set_count_
1388,bs,ret_Val_
1389,stereo_phase,ret_Val_
1390,new_rate,get_count_
1391,blk,set_count_
1392,vf,ret_Val_
1393,d,get_frame_
1394,start,set_count_
1395,ci,get_count_
1396,env,ret_Val_
1397,avctx,get_count_
1398,env,get_count_
1399,c,set_count_
1400,h4,init_Val_
1401,u,get_count_
1402,s,ret_Val_
1403,block,get_count_
1404,is_write,init_Val_
1405,s,get_frame_
1406,prot,get_count_
1407,ret,get_frame_
1408,i,init_Val_
1409,shift,get_frame_
1410,vs,get_count_
1411,board_type,init_Val_
1412,arg2,init_Val_
1413,opts,init_Val_
1414,offset,get_count_
1415,mr,init_Val_
1417,options,set_count_
1418,hdr,get_frame_
1420,env,init_Val_
1421,dev_list,ret_Val_
1423,mon,get_frame_
1425,vhostfd,get_frame_
1426,file_prefix,get_count_
1427,s,get_count_
1428,mem_buf,get_count_
1429,sec_rs,get_count_
1430,ac3_id,get_frame_
1431,dma_cb,init_Val_
1432,height,set_count_
1433,bs,init_Val_
1434,opaque,init_Val_
1435,x,get_frame_
1436,d,set_count_
1437,sz,get_frame_
1438,rest_codes,init_Val_
1439,stride,init_Val_
1440,slice_x,get_count_
1441,buf,get_frame_
1443,idx,init_Val_
1444,mmio64,get_count_
1445,r,set_count_
1446,cpu_request_exit,init_Val_
1447,spapr,ret_Val_
1449,d,ret_Val_
1450,j,get_count_
1451,ap,get_count_
1452,min_idx,init_Val_
1453,fds,get_frame_
1454,packet,init_Val_
1455,sar,init_Val_
1456,lj,set_count_
1457,dev,init_Val_
1458,c,set_count_
1459,cbp_a,get_count_
1460,i,get_count_
1461,val,get_count_
1462,bm,set_count_
1463,i,init_Val_
1464,dev,get_frame_
1466,ret,get_frame_
1467,i,set_count_
1468,klass,get_frame_
1469,req,get_frame_
1471,drop,get_frame_
1472,blk,ret_Val_
1473,s,ret_Val_
1475,cy,init_Val_
1476,ret,init_Val_
1477,ret,get_count_
1478,dma_memory_write,get_count_
1479,wctx,get_frame_
1480,val,init_Val_
1481,i,init_Val_
1482,l1,ret_Val_
1483,s,get_frame_
1484,src,init_Val_
1485,bndend,get_frame_
1486,index,get_count_
1487,oc,set_count_
1488,qsg,init_Val_
1489,f,get_count_
1490,sps,init_Val_
1491,bs,set_count_
1492,ctrl,get_count_
1493,s,get_frame_
1494,mutex,get_frame_
1495,addr,set_count_
1497,k,set_count_
1498,human,init_Val_
1499,fd,ret_Val_
1500,cm,get_frame_
1501,out_len,ret_Val_
1502,i,get_frame_
1503,fs_path,ret_Val_
1504,delay1,init_Val_
1505,recurse,get_count_
1506,av_restrict,ret_Val_
1507,info_spec,set_count_
1508,jtx,init_Val_
1509,args,set_count_
1510,bit,init_Val_
1511,i,get_count_
1512,ret,get_frame_
1513,hw,init_Val_
1514,id,get_frame_
1515,bs,init_Val_
1516,pb,get_frame_
1518,i,ret_Val_
1519,ret,set_count_
1520,format,get_frame_
1521,devtypename,get_count_
1522,i,init_Val_
1523,f,get_count_
1524,eeprom,get_frame_
1526,s390_dev,ret_Val_
1527,i,init_Val_
1528,rc,get_count_
1529,nd,ret_Val_
1530,mon,get_frame_
1531,table_data,get_count_
1532,resource,get_count_
1533,ptex,get_count_
1534,inlink,get_count_
1535,bs,ret_Val_
1536,evt,ret_Val_
1537,s,ret_Val_
1538,stride,init_Val_
1539,timeout,init_Val_
1540,i,get_frame_
1542,buffer,init_Val_
1543,i,init_Val_
1544,nb_oargs,get_count_
1545,psize,get_frame_
1546,avctx,set_count_
1547,dev,get_count_
1548,env,ret_Val_
1549,frame,get_frame_
1550,i,get_frame_
1551,dst,get_frame_
1552,lj,get_frame_
1553,errp,init_Val_
1554,frame,get_frame_
1555,port,get_frame_
1556,idx,set_count_
1557,pbs,ret_Val_
1558,ctx,ret_Val_
1559,ctx,init_Val_
1560,obj,get_count_
1561,q,get_frame_
1562,o_out,get_frame_
1563,req,get_count_
1564,vdev,get_count_
1565,s,set_count_
1566,row_dec,ret_Val_
1567,eeprom,get_frame_
1569,mon,init_Val_
1570,vmsg,init_Val_
1572,b,get_count_
1573,val_table,get_frame_
1574,e,set_count_
1575,ov,get_count_
1576,q1,ret_Val_
1577,ret,set_count_
1578,ic,init_Val_
1579,start_addr,set_count_
1580,filename,set_count_
1581,addend,set_count_
1582,ctx,get_frame_
1584,i,ret_Val_
1585,memory,ret_Val_
1586,value,get_count_
1587,timer_irq,set_count_
1589,seq,init_Val_
1590,machine,ret_Val_
1591,xhci,set_count_
1592,arg1,get_frame_
1593,index,get_frame_
1594,mon,get_frame_
1595,port,get_frame_
1596,s,get_count_
1597,i,get_frame_
1598,buf,init_Val_
1599,redundancy,set_count_
1600,ret,get_frame_
1601,addr,ret_Val_
1602,base,get_frame_
1603,buf,ret_Val_
1604,bs,init_Val_
1605,addr,get_count_
1606,pb,get_count_
1607,dst,init_Val_
1608,dst,ret_Val_
1609,timer_list,get_frame_
1610,cmd,init_Val_
1611,ctx,set_count_
1612,value,ret_Val_
1614,offset,get_frame_
1615,val,ret_Val_
1616,args,get_frame_
1618,value,set_count_
1619,size,ret_Val_
1620,o,set_count_
1622,ctx,get_frame_
1623,bs,get_frame_
1624,ap,init_Val_
1625,i,get_frame_
1626,offset,init_Val_
1627,acb,set_count_
1628,oc,ret_Val_
1629,pixels,init_Val_
1630,d,init_Val_
1632,client,set_count_
1633,s,init_Val_
1634,s,set_count_
1635,s,init_Val_
1636,streamid,ret_Val_
1638,otp_region,get_frame_
1639,offset,init_Val_
1640,resp,set_count_
1641,mr,get_count_
1643,nkey,set_count_
1644,buf_size,set_count_
1645,in_len,get_count_
1646,r,init_Val_
1647,i,ret_Val_
1648,s,get_count_
1649,ohci,init_Val_
1650,ret,get_count_
1651,i,get_frame_
1652,mod,set_count_
1653,avctx,ret_Val_
1654,obj,get_frame_
1655,s,init_Val_
1657,s,get_count_
1658,addr,get_count_
1659,available_snapshots,get_frame_
1660,queue,set_count_
1661,client,get_frame_
1662,samples,get_frame_
1663,dst_buf,get_frame_
1664,v,init_Val_
1665,s,ret_Val_
1666,pdev,ret_Val_
1668,dev,get_count_
1669,s,get_frame_
1671,val,init_Val_
1672,nb,set_count_
1673,i,get_frame_
1674,address,set_count_
1675,new_size,set_count_
1676,pci_dev,init_Val_
1677,global,init_Val_
1678,s,init_Val_
1679,avctx,ret_Val_
1680,widget,get_frame_
1682,s,init_Val_
1683,ramsize,get_count_
1684,alpha,init_Val_
1685,err,init_Val_
1686,vd,get_frame_
1687,opts,get_count_
1688,co_,get_count_
1689,i,get_count_
1690,xpos,set_count_
1691,io_poll,get_count_
1693,a,get_frame_
1694,rets,ret_Val_
1695,i,get_count_
1696,C,init_Val_
1697,val,get_count_
1698,fd,get_count_
1699,gen_code_buf,set_count_
1700,i,set_count_
1701,mot_stride,get_count_
1702,tmp,init_Val_
1704,j,get_frame_
1705,opts,get_frame_
1706,full_discard,set_count_
1707,dst,ret_Val_
1708,pb,get_frame_
1709,ist,get_count_
1710,maxband,init_Val_
1711,pos,get_frame_
1712,n1,ret_Val_
1713,access_size_max,ret_Val_
1714,cost,init_Val_
1715,end,ret_Val_
1716,is_64,get_count_
1717,bf,get_count_
1719,candidate,ret_Val_
1720,set,get_count_
1721,errp,set_count_
1722,exit_status,get_count_
1723,nak_msg,set_count_
1724,v,get_count_
1725,isampf,set_count_
1726,arg,get_count_
1728,f,set_count_
1729,pci,get_count_
1730,s,ret_Val_
1731,ctx,get_frame_
1733,addr,get_frame_
1735,i,get_count_
1736,i,init_Val_
1737,pci_bus,ret_Val_
1738,max_outputs,init_Val_
1739,quant,get_frame_
1740,f,set_count_
1741,ret,init_Val_
1742,i,get_count_
1743,ret,get_frame_
1744,avctx,set_count_
1745,i,ret_Val_
1746,obj,get_count_
1747,v,init_Val_
1748,source,init_Val_
1749,mem_buf,init_Val_
1750,addr,get_count_
1751,y,get_frame_
1752,obj,get_frame_
1753,dev,init_Val_
1754,bdrv,ret_Val_
1755,ctx,init_Val_
1756,errp,get_count_
1757,avctx,set_count_
1758,s,init_Val_
1759,nb_needed,ret_Val_
1760,errp,ret_Val_
1761,h,init_Val_
1762,i,get_count_
1763,opc,get_frame_
1764,data,ret_Val_
1765,discard,get_frame_
1767,vser,ret_Val_
1768,lfe_samples,get_frame_
1769,dev,ret_Val_
1770,errp,set_count_
1771,i,get_frame_
1772,d,get_frame_
1773,picref,ret_Val_
1774,j,get_frame_
1775,mc2_r,get_frame_
1777,dc,ret_Val_
1778,offset,ret_Val_
1779,chan,set_count_
1780,slirp,get_frame_
1781,def,get_count_
1782,done,get_frame_
1783,backend,init_Val_
1784,ret,get_frame_
1785,s,get_frame_
1786,avctx,get_count_
1787,n,get_frame_
1788,index,get_frame_
1789,slots_str,set_count_
1790,total_bufs,ret_Val_
1791,dropped_frame,get_count_
1792,lastTonal,set_count_
1794,on_error,set_count_
1795,is_maskable,get_count_
1796,score,init_Val_
1798,path,get_frame_
1799,env,get_frame_
1800,h,ret_Val_
1801,i,init_Val_
1802,blk,init_Val_
1803,res,ret_Val_
1804,s,get_frame_
1805,size,get_count_
1806,env,init_Val_
1807,mr,get_frame_
1808,idx,get_frame_
1809,test_cases,set_count_
1810,data,ret_Val_
1811,sample_time,get_frame_
1813,ret,get_count_
1814,errp,set_count_
1815,ctx,ret_Val_
1816,s,set_count_
1817,ti,ret_Val_
1818,r,init_Val_
1819,dummy,get_count_
1820,count,get_frame_
1821,obj,ret_Val_
1822,chan,init_Val_
1823,addr,ret_Val_
1824,cpu_flags,get_count_
1825,func,get_count_
1826,cond,ret_Val_
1827,vdev,set_count_
1828,ret,get_frame_
1829,n,set_count_
1830,size,set_count_
1831,access_len,get_count_
1832,env,init_Val_
1833,i,set_count_
1835,nb_in,set_count_
1836,type,get_frame_
1838,coding_mode,init_Val_
1839,orig_base_flags,get_frame_
1840,padding,set_count_
1841,dyld_root,set_count_
1842,v,init_Val_
1843,i,ret_Val_
1844,irq,init_Val_
1845,i,get_frame_
1846,strt,get_frame_
1847,opts,get_count_
1848,index,ret_Val_
1849,hdr_type,init_Val_
1850,cs,set_count_
1851,cluster_size,init_Val_
1852,buf,init_Val_
1853,crop_left,init_Val_
1854,flags,ret_Val_
1855,list,init_Val_
1856,i,get_frame_
1857,blockptr,get_frame_
1858,s,ret_Val_
1859,err,get_count_
1860,ifm,set_count_
1861,bus_num,set_count_
1862,mv_pos,ret_Val_
1863,val,init_Val_
1864,i,get_count_
1865,debugfs_found,init_Val_
1866,errp,get_frame_
1867,lport,init_Val_
1868,d,get_count_
1869,gb,ret_Val_
1870,s,init_Val_
1872,samplesref,init_Val_
1873,size,get_frame_
1874,i,ret_Val_
1875,src,get_count_
1876,type,get_count_
1877,i,init_Val_
1878,i,init_Val_
1879,ist,get_frame_
1880,ctx,get_frame_
1881,enc_row_size,get_count_
1882,ram_size,ret_Val_
1884,msg1,set_count_
1885,p2,get_count_
1887,link_down,init_Val_
1888,pc,init_Val_
1889,p0,init_Val_
1890,fps,get_frame_
1891,pb,get_count_
1892,len,init_Val_
1894,cmd,get_frame_
1895,ctx,ret_Val_
1896,s,get_frame_
1897,y,ret_Val_
1898,addr,get_frame_
1899,obj,set_count_
1900,isize,get_frame_
1901,fmt,ret_Val_
1902,data,set_count_
1903,mode,ret_Val_
1904,obj,get_frame_
1905,angles,ret_Val_
1906,fs,set_count_
1907,klass,init_Val_
1908,x_pu,init_Val_
1909,compr,get_count_
1910,size,ret_Val_
1911,env,set_count_
1912,s,init_Val_
